player	team	games_played	wins	losses	minutes_played	field_goals_made	field_goals_attempted	three_pointers_made	three_pointers_attempted	free_throws_made	free_throws_attempted	rebounds	assists	turnovers	steals	blocks	personal_fouls	points
Aaron Gordon	ORL	6	0	6	22.4	2.3	5.3	0.5	1.2	1.8	2.5	4	0.5	1	0.2	0.3	2.3	7
Al Jefferson	CHA	53	19	34	31.8	7.8	16.1	0	0.1	1.8	2.8	8.8	1.8	1.1	0.8	1.1	2.2	17.5
Amar'e Stoudemire	DAL	14	1	13	27.6	5.1	9.3	0	0	2	2.9	6.8	1.1	2	0.9	1.6	3.2	12.3
Andrew Bogut	GSW	52	45	7	24	2.9	5.3	0	0	0.4	0.8	8.1	2.7	1.7	0.7	1.7	2.8	6.3
Andrew Wiggins	MIN	68	15	53	35.1	5.8	13.4	0.5	1.6	3.6	4.9	4.4	1.8	2	1.1	0.6	2.4	15.8
Anthony Davis	NOP	55	31	24	35.9	9.6	17.7	0	0.2	5.5	6.6	10.4	1.9	1.4	1.4	2.9	2.1	24.6
Blake Griffin	LAC	55	36	19	35.4	8.7	17.3	0.1	0.4	4.7	6.5	7.7	5.2	2.3	1	0.5	3	22.2
Brandon Jennings	DET	41	17	24	28.6	5.3	13.2	1.9	5.1	2.9	3.5	2.5	6.6	2.2	1.1	0.1	1.6	15.4
Brook Lopez	BKN	30	12	18	30.2	7	13.4	0	0.1	2.8	3.6	7.1	0.7	1.8	0.5	1.9	3	16.8
Carlos Boozer	LAL	26	8	18	25.4	5.3	10.8	0	0	1.5	2.4	6.7	1.3	1.3	0.7	0.1	2.9	12.1
Carmelo Anthony	NYK	40	10	30	35.7	9	20.2	1.5	4.5	4.7	5.9	6.6	3.1	2.2	1	0.4	2.2	24.2
Caron Butler	DET	8	4	4	22.2	3	5.8	1.5	3.1	1.8	1.9	2.1	1	0.3	1	0	1.4	9.3
Chris Andersen	MIA	19	9	10	23.3	2.9	4.3	0	0	2.2	3.1	6.6	0.8	0.5	0.7	1.2	1.8	8
Chris Bosh	MIA	44	19	25	35.4	7.8	16.9	1.4	3.8	4.1	5.3	7	2.2	2.2	0.9	0.6	1.6	21.1
Chris Paul	LAC	70	45	25	35	7	14.5	1.6	4.2	3.2	3.7	4.7	10.1	2.4	1.8	0.2	2.5	18.8
Courtney Lee	MEM	63	43	20	30.8	3.8	8.4	1.3	3	1.5	1.7	2.3	2	1	0.9	0.1	1.7	10.3
Damian Lillard	POR	68	44	24	36.2	7.2	16.6	2.4	7.1	4.4	5.1	4.7	6.2	2.7	1.3	0.3	2	21.3
Danilo Gallinari	DEN	18	7	11	29.1	5	12.6	2.3	6.2	3.3	3.7	4.1	1.6	1.2	1.2	0.3	1.9	15.6
David Lee	GSW	1	0	1	31.1	4	12	0	0	5	6	4	3	0	1	1	3	13
David West	IND	54	24	30	28.9	5.1	10.9	0.1	0.3	1.6	2.1	7	3.3	1.9	0.8	0.8	2.4	11.9
DeAndre Jordan	LAC	70	45	25	34.5	4.5	6.4	0	0.1	2.1	5.3	14.8	0.7	1.4	1	2.2	3	11.2
DeMarcus Cousins	SAC	52	20	32	33.9	8.2	17.5	0	0.1	7.3	9.1	12.3	3.3	4.2	1.4	1.6	4.1	23.7
Deron Williams	BKN	41	18	23	33	5	12.4	1.4	3.8	3.4	4	3	6.6	2.4	1.1	0.2	2.4	14.7
Derrick Favors	UTA	65	30	35	31.5	6.6	12.4	0	0.1	3.1	4.6	8.2	1.5	1.6	0.8	1.7	2.8	16.4
Derrick Rose	CHI	46	29	17	31	6.9	16.9	1.6	5.5	3.1	3.8	3.1	5	3.2	0.7	0.3	1.3	18.4
Dirk Nowitzki	DAL	66	41	25	29.5	6.4	14	1.4	3.7	3.3	3.7	5.9	1.8	1	0.5	0.4	2.1	17.4
Draymond Green	GSW	69	56	13	31.9	4.3	9.7	1.4	4.2	1.8	2.6	8.1	3.6	1.7	1.7	1.3	3.2	11.8
Dwight Howard	HOU	32	22	10	32.2	6.3	11	0	0.1	3.7	6.9	11	1.4	3.1	0.7	1.4	3.5	16.3
Dwyane Wade	MIA	50	25	25	31.9	8.4	17.4	0.4	1.5	4.6	6	3.7	5.2	3.4	1.3	0.3	1.8	21.8
Enes Kanter	OKC	61	26	35	27.8	6	11.9	0.2	0.7	2.2	2.8	8.4	0.7	1.9	0.5	0.3	2.5	14.4
Eric Gordon	NOP	48	27	21	33.4	4.6	11.4	2.3	5.2	1.6	2	2.8	3.9	2.2	0.9	0.3	2.4	13.3
Goran Dragic	MIA	65	37	28	33.5	6.5	12.8	1.2	3.3	2.2	2.9	3.6	4.4	2.2	1.1	0.2	2.4	16.4
Gordon Hayward	UTA	68	30	38	34.7	6.5	14.4	1.6	4.3	4.9	6.1	4.9	4.2	2.8	1.4	0.4	1.8	19.6
J.R. Smith	CLE	41	27	14	32.4	5	11.9	2.6	6.8	0.9	1.1	3.7	2.9	1.4	1.5	0.4	2.5	13.4
JJ Redick	LAC	66	44	22	31	5.5	11.7	2.5	5.8	2.3	2.6	2.2	1.8	1.2	0.5	0.1	1.8	15.8
James Harden	HOU	68	46	22	36.7	7.9	18	2.5	6.8	8.6	9.9	5.8	7	4	1.9	0.8	2.6	26.9
Jeff Green	MEM	61	31	30	31.4	5.3	12.5	1.3	3.9	3.2	3.9	4.2	1.7	1.4	0.7	0.4	1.9	15.2
Jeremy Lin	LAL	23	5	18	29.6	4	8.9	1.1	3	2.5	3	2.7	5	2.7	1.1	0.3	3.1	11.6
Joakim Noah	CHI	59	34	25	30.8	2.9	6.6	0	0	1.7	2.7	9.9	4.7	1.9	0.7	1.2	3	7.5
Joe Johnson	BKN	66	29	37	34.9	5.8	13.3	1.5	4.2	1.8	2.2	4.8	3.4	1.8	0.7	0.2	1.6	15
John Wall	WAS	69	40	29	35.7	6.5	14.3	0.8	2.7	3.5	4.6	4.6	10	3.7	1.8	0.6	2.2	17.4
Josh Smith	HOU	32	6	26	30.9	5.1	13.2	0.3	1.3	1.7	3.7	6.9	4.3	2.7	1.4	1.6	2.9	12.1
Kawhi Leonard	SAS	50	34	16	32	5.8	12.6	1	3.1	3.2	4.1	7.3	2.4	1.5	2.2	0.8	2	15.9
Kemba Walker	CHA	43	16	27	35.5	6.6	16.6	1.6	4.9	4	4.8	3.8	5.2	1.7	1.4	0.6	1.6	18.8
Kendrick Perkins	CLE	3	2	1	23.4	1.7	2.3	0	0	0	0	3.3	1	1	0.3	0.3	3.3	3.3
Kenneth Faried	DEN	60	25	35	28.3	5	9.7	0	0.1	2.4	3.6	9.1	1.2	1.6	0.8	0.9	2.6	12.3
Kevin Durant	OKC	27	18	9	33.8	8.8	17.3	2.4	5.9	5.4	6.3	6.6	4.1	2.7	0.9	0.9	1.5	25.4
Kevin Garnett	MIN	47	20	27	20.3	3	6.5	0	0.1	0.8	1	6.6	1.6	1	1	0.4	2.3	6.9
Kevin Love	CLE	66	43	23	34.3	5.5	12.8	1.9	5.2	3.8	4.7	10.2	2.3	1.5	0.7	0.5	1.9	16.6
Klay Thompson	GSW	64	53	11	32.5	7.9	17.1	3.1	7.1	3	3.4	3.2	2.9	2	1.1	0.8	1.6	21.9
Kobe Bryant	LAL	35	10	25	34.5	7.6	20.4	1.5	5.3	5.6	6.9	5.7	5.6	3.7	1.3	0.2	1.9	22.3
Kyle Korver	ATL	64	51	13	32.7	4	8	3	6	1.4	1.6	4.1	2.5	1.5	0.7	0.5	1.9	12.4
Kyle Lowry	TOR	65	40	25	34.8	6.3	15	1.9	5.6	3.7	4.5	4.6	6.9	2.5	1.6	0.2	3	18.1
Kyrie Irving	CLE	66	44	22	36.9	7.7	16.5	2.1	5	4.3	5	3.2	5.2	2.3	1.4	0.3	2	21.9
LaMarcus Aldridge	POR	61	41	20	35.7	9.3	20	0.5	1.4	4.4	5.1	10.4	1.8	1.8	0.7	1	1.9	23.5
Lance Stephenson	CHA	25	6	19	32.8	4.3	11.1	0.3	2.1	1.3	2.1	6.8	4.8	2.3	0.8	0.1	2.3	10.2
LeBron James	CLE	60	43	17	36.3	9.2	18.8	1.8	5	5.6	7.9	5.7	7.3	4.1	1.5	0.7	2	25.9
Luol Deng	MIA	60	29	31	33.6	5.3	10.8	1.2	3	2.8	3.7	4.9	2	1.6	0.9	0.3	1.5	14.4
Marc Gasol	MEM	69	49	20	33.8	6.6	13.3	0	0.2	4.6	5.6	8	3.8	2.3	0.9	1.7	2.6	17.7
Marcin Gortat	WAS	69	40	29	30	5.3	9.4	0	0	1.5	2.2	8.6	1.1	1.3	0.6	1.3	2.2	12.1
Mario Chalmers	MIA	36	14	22	32.7	3.6	9	0.9	3.1	3.1	4	2.9	4.9	2.3	1.7	0.2	3	11.2
Mike Conley	MEM	62	43	19	31.8	5.8	12.8	1.5	3.9	3.2	3.7	3.1	5.3	2.3	1.3	0.2	2	16.3
Nene	WAS	50	28	22	26.3	4.9	9.3	0	0.1	1.9	3	4.9	2.1	2	1.1	0.4	3	11.6
Pau Gasol	CHI	67	40	27	34.6	7.3	14.7	0.2	0.3	3.8	4.6	11.9	2.7	2.1	0.3	1.9	2	18.4
Paul Millsap	ATL	66	51	15	33.1	6.2	12.9	1.1	3	3.5	4.7	7.9	3	2.4	1.8	0.9	2.8	16.9
Paul Pierce	WAS	64	37	27	26.8	4.3	9.4	1.7	4.3	2.5	3.1	4.1	2	1.4	0.7	0.3	2.3	12.8
